repetition_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
1,imbalanced,50:1,tvae,Naive Oversampling,420,0.6424870466321243,0.6228867555857616,0.5369127516778524,0.6666666666666666,0.449438202247191,0.7458405358686258
2,imbalanced,50:1,baseline,N/A,420,0.5906735751295337,0.4769288826374833,0.23300970873786409,0.8571428571428571,0.1348314606741573,0.8135263612791702
2,imbalanced,50:1,ddpm,Naive Oversampling,420,0.5751295336787565,0.43927154195011336,0.16326530612244897,0.8888888888888888,0.0898876404494382,0.7718236819360415
2,imbalanced,50:1,nflow,Naive Oversampling,420,0.5492227979274611,0.3745203948593779,0.04395604395604396,1.0,0.02247191011235955,0.799913569576491
2,imbalanced,50:1,ctgan,Naive Oversampling,420,0.6424870466321243,0.5726937269372694,0.4,0.8846153846153846,0.25842696629213485,0.8119598098530683
2,imbalanced,50:1,tvae,Naive Oversampling,420,0.7409326424870466,0.7260390642743584,0.6621621621621622,0.8305084745762712,0.550561797752809,0.8614952463267069
3,imbalanced,50:1,baseline,N/A,420,0.616580310880829,0.5346063607924922,0.3392857142857143,0.8260869565217391,0.21348314606741572,0.7981309420916163
3,imbalanced,50:1,ddpm,Naive Oversampling,420,0.5854922279792746,0.47354064375340976,0.23076923076923078,0.8,0.1348314606741573,0.8121758859118409
3,imbalanced,50:1,nflow,Naive Oversampling,420,0.5699481865284974,0.43620877767219235,0.16161616161616163,0.8,0.0898876404494382,0.7579948141745894
3,imbalanced,50:1,ctgan,Naive Oversampling,420,0.6010362694300518,0.5021940843466318,0.2803738317757009,0.8333333333333334,0.16853932584269662,0.7819252376836646
3,imbalanced,50:1,tvae,Naive Oversampling,420,0.694300518134715,0.6867314093922804,0.6380368098159509,0.7027027027027027,0.5842696629213483,0.7990492653414003
1,imbalanced,5:1,baseline,N/A,494,0.7409326424870466,0.7310479375696768,0.6794871794871795,0.7910447761194029,0.5955056179775281,0.8453435609334485
1,imbalanced,5:1,ddpm,Naive Oversampling,494,0.7357512953367875,0.7212641236938238,0.6577181208053692,0.8166666666666667,0.550561797752809,0.8515017286084703
1,imbalanced,5:1,nflow,Naive Oversampling,494,0.6839378238341969,0.659198147344044,0.5673758865248227,0.7692307692307693,0.449438202247191,0.8193063958513396
1,imbalanced,5:1,ctgan,Naive Oversampling,494,0.7564766839378239,0.7504470549396132,0.7116564417177914,0.7837837837837838,0.651685393258427,0.829786084701815
1,imbalanced,5:1,tvae,Naive Oversampling,494,0.7668393782383419,0.7652258535398588,0.7457627118644068,0.75,0.7415730337078652,0.8362143474503023
2,imbalanced,5:1,baseline,N/A,494,0.7409326424870466,0.7321230290917167,0.6835443037974683,0.782608695652174,0.6067415730337079,0.8617113223854798
2,imbalanced,5:1,ddpm,Naive Oversampling,494,0.7512953367875648,0.7428381079280479,0.6962025316455697,0.7971014492753623,0.6179775280898876,0.8469101123595506
2,imbalanced,5:1,nflow,Naive Oversampling,494,0.7616580310880829,0.7544800884955752,0.7125,0.8028169014084507,0.6404494382022472,0.8614952463267069
2,imbalanced,5:1,ctgan,Naive Oversampling,494,0.7202072538860104,0.7146221248630886,0.6746987951807228,0.7272727272727273,0.6292134831460674,0.8310825410544513
2,imbalanced,5:1,tvae,Naive Oversampling,494,0.7668393782383419,0.762529735050447,0.7305389221556886,0.782051282051282,0.6853932584269663,0.8585242005185825
3,imbalanced,5:1,baseline,N/A,494,0.7461139896373057,0.734719066453477,0.6797385620915033,0.8125,0.5842696629213483,0.8653846153846154
3,imbalanced,5:1,ddpm,Naive Oversampling,494,0.7564766839378239,0.747698384001335,0.7006369426751592,0.8088235294117647,0.6179775280898876,0.8788893690579085
