dataset_type,imbalance_ratio,model,strategy,f1_minority_mean,f1_minority_std,roc_auc_mean,roc_auc_std,recall_minority_mean,recall_minority_std,precision_minority_mean,precision_minority_std
control,5:1,tvae,Naive Oversampling,0.8064572783513089,0.018307706077257728,0.8768420484010372,0.008325880403370008,0.8617977528089888,0.029985945919472807,0.7583656548646688,0.020815386926668362
control,7:1,baseline,N/A,0.7933192314335424,0.018830937691004482,0.8695980985306828,0.009716951547725566,0.8382022471910112,0.023208888966036963,0.7536226728948124,0.026990446151080986
control,7:1,ctgan,Naive Oversampling,0.7957914260273913,0.019123780512770555,0.8693280034572168,0.010051085742704918,0.848314606741573,0.019994528561856392,0.7500336326415783,0.029237386557586387
control,7:1,ddpm,Naive Oversampling,0.7924134518759844,0.023588526232534223,0.8728122299049265,0.008231683732907412,0.8337078651685393,0.028424967731850593,0.7556580433262984,0.02963376742723602
control,7:1,nflow,Naive Oversampling,0.7865829601546299,0.019414735381576474,0.8680639585133967,0.010335017001403256,0.8303370786516855,0.02672068761308913,0.7476937426258294,0.023108131879078744
control,7:1,tvae,Naive Oversampling,0.7953685954097958,0.016448007796250226,0.868560933448574,0.010121477881423722,0.8505617977528089,0.017606980185083363,0.7475056617385638,0.02696902085633176
imbalanced,100:1,baseline,N/A,0.05336715756266173,0.03995396577715881,0.7680153414001729,0.024724548201511265,0.02808988764044944,0.02199876427803507,0.8375,0.20828703189186068
imbalanced,100:1,ctgan,Naive Oversampling,0.0703262764420334,0.03223531516556598,0.7396607605877269,0.052533930450685266,0.03707865168539326,0.017606980185083384,0.8407142857142856,0.16933781634455922
imbalanced,100:1,ddpm,Naive Oversampling,0.09251815051575193,0.07138566266684782,0.7015395419187553,0.057353906853377504,0.05056179775280899,0.04111329288408267,0.7788095238095238,0.2954437967482767
imbalanced,100:1,nflow,Naive Oversampling,0.07160185051896571,0.05012571761968854,0.73014261019879,0.040206433236768424,0.038202247191011236,0.02812731588841736,0.8473809523809523,0.17032437595983532
imbalanced,100:1,tvae,Naive Oversampling,0.3667427672917802,0.2244627980122461,0.7702787381158168,0.05733193888217678,0.28314606741573034,0.19724711189479238,0.7653149703370604,0.15159465349942086
imbalanced,10:1,baseline,N/A,0.5947731414332365,0.051321353116235445,0.8620624459809854,0.01857701357767758,0.4606741573033708,0.055044713320970294,0.845287384505726,0.03539982083949023
imbalanced,10:1,ctgan,Naive Oversampling,0.6547172157115153,0.04006027830725486,0.8552992653414002,0.019778846646905053,0.5449438202247191,0.0538206287011233,0.8251293889109064,0.03970105751649576
imbalanced,10:1,ddpm,Naive Oversampling,0.5871833318218258,0.04956158606937951,0.861446629213483,0.02286408568875817,0.44831460674157303,0.050094945553176666,0.8558041146224376,0.03551551644232491
imbalanced,10:1,nflow,Naive Oversampling,0.5232085593594056,0.10999115366526707,0.8464995678478825,0.025644315633052014,0.39662921348314606,0.13178518799206002,0.8214503592844473,0.04693772069806162
imbalanced,10:1,tvae,Naive Oversampling,0.7368690131550579,0.01980658248690238,0.8649308556611928,0.018974241601979525,0.6898876404494382,0.03863309950030752,0.7935953389183582,0.03650585381231076
imbalanced,1:1,baseline,N/A,0.7999750099261175,0.010133468085419152,0.8711646499567849,0.0022345278100674784,0.8786516853932584,0.01571249210741798,0.7343180436400327,0.009329312001439072
imbalanced,1:1,ctgan,Naive Oversampling,0.7999750099261175,0.010133468085419152,0.8711646499567849,0.0022345278100674784,0.8786516853932584,0.01571249210741798,0.7343180436400327,0.009329312001439072
imbalanced,1:1,ddpm,Naive Oversampling,0.7999750099261175,0.010133468085419152,0.8711646499567849,0.0022345278100674784,0.8786516853932584,0.01571249210741798,0.7343180436400327,0.009329312001439072
imbalanced,1:1,nflow,Naive Oversampling,0.7999750099261175,0.010133468085419152,0.8711646499567849,0.0022345278100674784,0.8786516853932584,0.01571249210741798,0.7343180436400327,0.009329312001439072
imbalanced,1:1,tvae,Naive Oversampling,0.7999750099261175,0.010133468085419152,0.8711646499567849,0.0022345278100674784,0.8786516853932584,0.01571249210741798,0.7343180436400327,0.009329312001439072
imbalanced,20:1,baseline,N/A,0.3998576152062749,0.07955362604988407,0.8345991789109768,0.02008965873384172,0.2629213483146068,0.06469759664925596,0.8749861650201399,0.06355855647635061
imbalanced,20:1,ctgan,Naive Oversampling,0.5131347773132812,0.1129894099669915,0.8262694468452896,0.037201142285113106,0.3764044943820225,0.11301308067127049,0.8605965766259883,0.04139196290160132
imbalanced,20:1,ddpm,Naive Oversampling,0.3944699347366817,0.0763905260558119,0.8400226879861711,0.01132431910595899,0.25842696629213485,0.06678859363343449,0.8773030472224062,0.056111884862052645
imbalanced,20:1,nflow,Naive Oversampling,0.3548757282835132,0.0897468698454903,0.8047536732929992,0.026993299179834302,0.22696629213483144,0.07411567703948486,0.8888741518732239,0.06025685730325016
imbalanced,20:1,tvae,Naive Oversampling,0.674608390258262,0.05538341745360036,0.828133102852204,0.036408470379341126,0.6146067415730337,0.06927320412602926,0.7519841101262855,0.05958852597737167
imbalanced,3:1,baseline,N/A,0.7325295523080367,0.01934535290693016,0.8713969317199654,0.0070821036524973836,0.6876404494382022,0.03505425904658455,0.784870599985397,0.010604809143199
imbalanced,3:1,ctgan,Naive Oversampling,0.7499636886742312,0.023919857962976052,0.8605931287813311,0.016920421998441633,0.7337078651685394,0.03821326124549722,0.7686259386461576,0.03147271625820901
imbalanced,3:1,ddpm,Naive Oversampling,0.7225996027832535,0.02563206258413453,0.8602798184961106,0.007280096379487794,0.6820224719101124,0.03929908131707768,0.7695402852010075,0.019282662412745868
imbalanced,3:1,nflow,Naive Oversampling,0.7346265801695699,0.023034872354684776,0.8590049697493518,0.005924137271775461,0.7022471910112359,0.036791915176757506,0.7719335407989405,0.030050321249834967
imbalanced,3:1,tvae,Naive Oversampling,0.770034818321329,0.012722670673693159,0.873519878997407,0.00608524726668943,0.7696629213483146,0.024416488408998686,0.7711678894912645,0.019388873154744742
imbalanced,50:1,baseline,N/A,0.17294033871842837,0.09985678324734047,0.7917404926534141,0.027327156537129863,0.1,0.06365939538973166,0.8813316393751176,0.09325579020270598
imbalanced,50:1,ctgan,Naive Oversampling,0.16291763766124542,0.09391909961900088,0.7779926534140017,0.03570767014190974,0.0943820224719101,0.062491846036297254,0.8668019480519481,0.08770206779802481
imbalanced,50:1,ddpm,Naive Oversampling,0.11607598354671796,0.09143616586335468,0.7402603716508211,0.05023181060899803,0.0651685393258427,0.054993722375963,0.9240800865800866,0.08140340083749434
imbalanced,50:1,nflow,Naive Oversampling,0.09262668461753619,0.07233188150598573,0.7385371650821089,0.04003989230271239,0.05056179775280899,0.04245612003278889,0.9130555555555556,0.10282406365167457
imbalanced,50:1,tvae,Naive Oversampling,0.5778012325468027,0.08501467771101123,0.7862251512532412,0.07132041314158627,0.4831460674157303,0.08474688014220794,0.7273567386699099,0.10830457423795567
imbalanced,5:1,baseline,N/A,0.6778846959079893,0.029531280485149754,0.8630996110630942,0.013725650661134004,0.5831460674157303,0.03872376636872758,0.8114729779343787,0.02567258758267374
imbalanced,5:1,ctgan,Naive Oversampling,0.7161353555592183,0.02825276534490022,0.8611873379429559,0.01741703589660097,0.6528089887640449,0.03835981312080707,0.7952643951127933,0.03773413072192158
imbalanced,5:1,ddpm,Naive Oversampling,0.6552579176764429,0.02871951401176305,0.8666540622299049,0.010292863001394984,0.5516853932584269,0.03979565980266516,0.8095133072648493,0.01924844076077809
imbalanced,5:1,nflow,Naive Oversampling,0.6606257079659557,0.03557063536222023,0.8523768366464995,0.008389554723434174,0.5606741573033708,0.051747777581989465,0.8087190883926638,0.02481418525997776
imbalanced,5:1,tvae,Naive Oversampling,0.7603978115164582,0.018972516004507133,0.8680693604148659,0.008390375924635207,0.7426966292134831,0.03368705141838028,0.7800580391313285,0.020106132068973857
imbalanced,7:1,baseline,N/A,0.6477337268056047,0.04062475193705543,0.8674913569576491,0.016797877359701133,0.5325842696629214,0.05113422671423523,0.8305322752549132,0.028083499145951804
imbalanced,7:1,ctgan,Naive Oversampling,0.692810334255831,0.02728813678159451,0.84153522039758,0.02549239982118767,0.6314606741573033,0.03956588058799776,0.7710134487519515,0.04856883789221059
imbalanced,7:1,ddpm,Naive Oversampling,0.5747195975740367,0.052264841479025326,0.8564552722558341,0.013463685996472421,0.44719101123595506,0.05845576933371286,0.8141538777409429,0.03381011508774378
imbalanced,7:1,nflow,Naive Oversampling,0.6013809886932966,0.06654103121259655,0.8414487899740708,0.02581453923467219,0.48539325842696635,0.08304140255829566,0.8036167235054265,0.030972895691555476
imbalanced,7:1,tvae,Naive Oversampling,0.7612269204086449,0.027466907084447954,0.8683448573898012,0.012802311475445851,0.7404494382022472,0.040494495642773076,0.7848126311586716,0.0343104987522657
