repetition_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
5,control,1:1,baseline,N/A,712,0.7979274611398963,0.7979057591623037,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.8695440795159896
6,control,1:1,baseline,N/A,712,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.75,0.8764044943820225,0.8754321521175454
7,control,1:1,baseline,N/A,712,0.7927461139896373,0.7926069202664947,0.797979797979798,0.7247706422018348,0.8876404494382022,0.8708945548833189
8,control,1:1,baseline,N/A,712,0.7927461139896373,0.7927405498281787,0.7938144329896907,0.7333333333333333,0.8651685393258427,0.872191011235955
9,control,1:1,baseline,N/A,712,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.75,0.8764044943820225,0.8679235090751944
1,control,20:1,baseline,N/A,432,0.8238341968911918,0.8236021505376344,0.8172043010752689,0.7835051546391752,0.8539325842696629,0.881266205704408
10,control,20:1,baseline,N/A,432,0.7875647668393783,0.7875419519398577,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.8640341400172861
2,control,20:1,baseline,N/A,432,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8752160760587727
3,control,20:1,baseline,N/A,432,0.8134715025906736,0.8130650021523891,0.8043478260869565,0.7789473684210526,0.8314606741573034,0.8782411408815902
4,control,20:1,baseline,N/A,432,0.8186528497409327,0.818477413807003,0.8128342245989305,0.7755102040816326,0.8539325842696629,0.8781871218668972
5,control,20:1,baseline,N/A,432,0.8031088082901554,0.8030612244897959,0.8,0.7524752475247525,0.8539325842696629,0.8811041486603286
6,control,20:1,baseline,N/A,432,0.7616580310880829,0.7616516323024054,0.7604166666666666,0.7087378640776699,0.8202247191011236,0.8457216940363008
7,control,20:1,baseline,N/A,432,0.7927461139896373,0.7927405498281787,0.7938144329896907,0.7333333333333333,0.8651685393258427,0.8677074330164218
8,control,20:1,baseline,N/A,432,0.772020725388601,0.7719656283566058,0.7684210526315789,0.7227722772277227,0.8202247191011236,0.8597126188418325
9,control,20:1,baseline,N/A,432,0.772020725388601,0.7720146048109966,0.7708333333333334,0.7184466019417476,0.8314606741573034,0.8691119273984442
1,control,3:1,baseline,N/A,549,0.7979274611398963,0.7978406252517927,0.7936507936507936,0.75,0.8426966292134831,0.8653846153846154
10,control,3:1,baseline,N/A,549,0.7979274611398963,0.7979057591623037,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.8750540190146932
2,control,3:1,baseline,N/A,549,0.7772020725388601,0.7771781447174118,0.7794871794871795,0.7169811320754716,0.8539325842696629,0.8712726879861711
3,control,3:1,baseline,N/A,549,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8713267070008642
4,control,3:1,baseline,N/A,549,0.8238341968911918,0.8238294673539519,0.8247422680412371,0.7619047619047619,0.898876404494382,0.8824546240276577
5,control,3:1,baseline,N/A,549,0.8290155440414507,0.8289420675207477,0.8253968253968254,0.78,0.8764044943820225,0.8858578219533276
6,control,3:1,baseline,N/A,549,0.8082901554404145,0.8077740988990283,0.7978142076502732,0.776595744680851,0.8202247191011236,0.8802398444252377
7,control,3:1,baseline,N/A,549,0.772020725388601,0.7720146048109966,0.7708333333333334,0.7184466019417476,0.8314606741573034,0.8674913569576491
8,control,3:1,baseline,N/A,549,0.772020725388601,0.7719656283566058,0.7684210526315789,0.7227722772277227,0.8202247191011236,0.8705164217804668
9,control,3:1,baseline,N/A,549,0.7875647668393783,0.7875647668393783,0.7875647668393783,0.7307692307692307,0.8539325842696629,0.8610630942091615
1,control,50:1,baseline,N/A,420,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.8629537597234225
10,control,50:1,baseline,N/A,420,0.7823834196891192,0.7823775773195876,0.78125,0.7281553398058253,0.8426966292134831,0.8861279170267935
2,control,50:1,baseline,N/A,420,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8728932584269663
3,control,50:1,baseline,N/A,420,0.7772020725388601,0.7772020725388601,0.7772020725388601,0.7211538461538461,0.8426966292134831,0.865276577355229
4,control,50:1,baseline,N/A,420,0.7875647668393783,0.7874734778288077,0.783068783068783,0.74,0.8314606741573034,0.8736495246326706
5,control,50:1,baseline,N/A,420,0.7979274611398963,0.7979057591623037,0.8,0.7358490566037735,0.8764044943820225,0.8767286084701815
6,control,50:1,baseline,N/A,420,0.8341968911917098,0.8338355574687903,0.8260869565217391,0.8,0.8539325842696629,0.8848314606741572
7,control,50:1,baseline,N/A,420,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.8818063958513397
8,control,50:1,baseline,N/A,420,0.8134715025906736,0.8134264232008592,0.8105263157894737,0.7623762376237624,0.8651685393258427,0.8714887640449438
9,control,50:1,baseline,N/A,420,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.75,0.8764044943820225,0.8691659464131377
1,control,5:1,baseline,N/A,494,0.8134715025906736,0.8132258064516129,0.8064516129032258,0.7731958762886598,0.8426966292134831,0.872461106309421
10,control,5:1,baseline,N/A,494,0.8134715025906736,0.8133462282398453,0.8085106382978723,0.7676767676767676,0.8539325842696629,0.8792134831460674
2,control,5:1,baseline,N/A,494,0.772020725388601,0.7720146048109966,0.7708333333333334,0.7184466019417476,0.8314606741573034,0.8539866032843562
3,control,5:1,baseline,N/A,494,0.7772020725388601,0.7771781447174118,0.774869109947644,0.7254901960784313,0.8314606741573034,0.8681395851339673
4,control,5:1,baseline,N/A,494,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.8866681071737251
5,control,5:1,baseline,N/A,494,0.8341968911917098,0.834192439862543,0.8333333333333334,0.7766990291262136,0.898876404494382,0.877538893690579
6,control,5:1,baseline,N/A,494,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8758643042350908
7,control,5:1,baseline,N/A,494,0.8186528497409327,0.8185749200977628,0.8148148148148148,0.77,0.8651685393258427,0.8875324114088159
8,control,5:1,baseline,N/A,494,0.8186528497409327,0.8183407287884901,0.8108108108108109,0.78125,0.8426966292134831,0.8777549697493519
